iteration,t_loss,v_loss,v_best_loss,lr
         0,4.582e+02,4.231e+02,4.231e+02,1.000e-03
        27,4.582e+02,4.231e+02,4.231e+02,1.000e-03
        54,4.580e+02,4.229e+02,4.231e+02,1.000e-03
        81,4.574e+02,4.224e+02,4.231e+02,1.000e-03
       108,4.549e+02,4.199e+02,4.231e+02,1.000e-03
       135,4.423e+02,4.078e+02,4.078e+02,1.000e-03
       162,3.979e+02,3.680e+02,3.680e+02,1.000e-03
       189,2.963e+02,2.721e+02,2.721e+02,1.000e-03
       216,1.448e+02,1.331e+02,1.331e+02,1.000e-03
       243,4.120e+01,3.729e+01,3.729e+01,1.000e-03
       270,1.574e+01,1.378e+01,1.378e+01,1.000e-03
       297,1.216e+01,1.064e+01,1.064e+01,1.000e-03
       324,1.204e+01,1.056e+01,1.064e+01,1.000e-03
       351,1.192e+01,1.056e+01,1.064e+01,1.000e-03
       378,1.081e+01,9.742e+00,9.742e+00,1.000e-03
       405,1.100e+01,9.594e+00,9.594e+00,1.000e-03
       432,8.974e+00,8.142e+00,8.142e+00,1.000e-03
       459,8.280e+00,7.636e+00,7.636e+00,1.000e-03
       486,8.822e+00,7.890e+00,7.636e+00,1.000e-03
       513,7.950e+00,7.119e+00,7.119e+00,1.000e-03
       540,8.371e+00,7.466e+00,7.119e+00,1.000e-03
       567,7.861e+00,7.046e+00,7.119e+00,1.000e-03
       594,7.712e+00,7.066e+00,7.119e+00,1.000e-03
       621,7.261e+00,6.488e+00,6.488e+00,1.000e-03
       648,6.551e+00,5.955e+00,5.955e+00,1.000e-03
       675,6.178e+00,5.553e+00,5.553e+00,1.000e-03
       702,5.668e+00,5.061e+00,5.061e+00,1.000e-03
       729,5.686e+00,5.275e+00,5.061e+00,1.000e-03
       756,5.098e+00,4.701e+00,4.701e+00,1.000e-03
       783,5.806e+00,5.283e+00,4.701e+00,1.000e-03
       810,4.566e+00,4.221e+00,4.221e+00,1.000e-03
       837,4.178e+00,3.877e+00,3.877e+00,1.000e-03
       864,3.920e+00,3.685e+00,3.685e+00,1.000e-03
       891,4.467e+00,4.111e+00,3.685e+00,1.000e-03
       918,3.434e+00,3.213e+00,3.213e+00,1.000e-03
       945,3.591e+00,3.415e+00,3.213e+00,1.000e-03
       972,3.813e+00,3.542e+00,3.213e+00,1.000e-03
       999,3.187e+00,2.947e+00,2.947e+00,1.000e-03
      1026,3.341e+00,3.260e+00,2.947e+00,1.000e-03
      1053,2.887e+00,2.694e+00,2.694e+00,1.000e-03
      1080,2.959e+00,2.961e+00,2.694e+00,1.000e-03
      1107,3.503e+00,3.258e+00,2.694e+00,1.000e-03
